,Nom,Né le,Département de naissance,Département de mort
3077,Pierre Ferrand,19 mars 1913,Creuse,Creuse
3078,René Cassagne,18 mars 1913,Gironde,Gironde
3079,Charles Kroepflé,13 mars 1913,Haut-Rhin,Haut-Rhin
3080,Pierre Laffont,12 mars 1913,Inconnu,Inconnu
3081,Pierre Elain,12 mars 1913,Mayenne,Loire-Atlantique
3082,Nicole de Hauteclocque,10 mars 1913,Meuse,Paris
3083,Ouali Azem,3 mars 1913,Inconnu,Inconnu
3084,Jean Risbourg,2 mars 1913,Nord,Aisne
3085,Charles Arbogast,28 février 1913,Bas-Rhin,Bas-Rhin
3086,"René, Paul Camphin",21 février 1913,Paris,Inconnu
3087,Marc Jacquet,17 février 1913,Meurthe,Paris
3088,Maurice Pic,15 février 1913,Vaucluse,Drôme
3089,Benalia Benelkadi,15 février 1913,Inconnu,Inconnu
3090,"Pierre, Auguste, Eugène Gaudin",15 février 1913,Var,Var
3091,"Roger, Louis, Jean Chatelain",14 février 1913,Deux-Sèvres,Deux-Sèvres
3092,Robert Manceau,12 février 1913,Sarthe,Sarthe
3093,Albert Dassié,8 février 1913,Basses-Pyrénées,Loire-Atlantique
3094,Denis Le Berre,26 janvier 1913,Morbihan,Morbihan
3095,"Roger, Guillaume Catroux",17 janvier 1913,Alpes-Maritimes,Inconnu
3096,"Maurice, Joseph, Henri Lenormand",15 janvier 1913,Inconnu,Inconnu
3097,Paul Guillon,13 janvier 1913,Vienne,Vienne
3098,René Thuillier,6 janvier 1913,Seine,Creuse
3099,"Marius, Alexandre Cartier",5 janvier 1913,Haute-Marne,Haute-Marne
3100,Alexandre Thomas,2 janvier 1913,Côtes,Côtes
3101,Joseph Lanet,20 décembre 1912,Hérault,Pyrénées-Orientales
3102,"Jean, Barthélemy, Marius Palméro",17 décembre 1912,Paris,Inconnu
3103,"Gérard, Henri, Gaston Vée",15 décembre 1912,Yonne,Paris
3104,Jean-Paul David,14 décembre 1912,Gers,Yvelines
3105,Henry Sers,14 décembre 1912,La,La
3106,Claude Panier,13 décembre 1912,Haute-Saône,Inconnu
3107,Mohammed Djouini,12 décembre 1912,Paris,Inconnu
3108,Bernard Le Douarec,9 décembre 1912,Inconnu,Inconnu
3109,Henri Ulrich,7 décembre 1912,Haut-Rhin,Haut-Rhin
3110,Justin Hausherr,25 novembre 1912,Haut-Rhin,Haut-Rhin
3111,"Gilbert, Charles Cartier",25 novembre 1912,Inconnu,Inconnu
3112,Raoul Laurent,23 novembre 1912,Haute-Marne,Haute-Marne
3113,Paul Rivière,22 novembre 1912,Loire,Rhône
3114,Jean-Hilaire Aubame,10 novembre 1912,Inconnu,Inconnu
3115,William Widenlocher,9 novembre 1912,Alpes-Maritimes,Inconnu
3116,Jean Capdeville,8 novembre 1912,Gers,Loire-Atlantique
3117,"Michel, Alfred Maurice-Bokanowski",6 novembre 1912,Seine,Paris
3118,Claude Gerbet,6 novembre 1912,Inconnu,Inconnu
3119,Marie-Claude Vaillant-Couturier Née Vogel,3 novembre 1912,Seine,Paris
3120,"Robert, Victor, Marcel, François Ballanger",2 novembre 1912,Loire-Inférieure,Inconnu
3121,"Jean, Louis Vitel",2 novembre 1912,Var,Var
3122,François Japiot,1er novembre 1912,Marne,Inconnu
3123,"Louis, Henri Fourmont",30 octobre 1912,Mayenne,Mayenne
3124,Roger Roth,21 octobre 1912,Inconnu,Inconnu
3125,Anne-Marie Schell,19 octobre 1912,Moselle,Moselle
3126,"Louis, Jacques, François, Michel Michaud",8 octobre 1912,Inconnu,Inconnu
3127,Roger Coste,5 octobre 1912,Ardèche,Isère
3128,Raymond dit Gérard Duprat,4 octobre 1912,Gironde,Gironde
3129,Edouard Thibault,27 septembre 1912,Sarthe,Paris
3130,Guy Murat,23 septembre 1912,Lot,Lot
3131,"Félix, Baptiste, Calixte Viallet",22 septembre 1912,Lozère,Lozère
3132,Robert Hostier,19 septembre 1912,Nièvre,Charente-Maritime
3133,Isabelle Claeys,15 septembre 1912,Nord,Côtes
3134,Raymond Guesdon,12 septembre 1912,Orne,Calvados
3135,Louis Dupont,7 septembre 1912,Meurthe,Alpes-Maritimes
3136,Louis Dupont,7 septembre 1912,Corrèze,Inconnu
3137,Louis Dupont,17 avril 1766,Meurthe,Alpes-Maritimes
3138,Louis Dupont,17 avril 1766,Corrèze,Inconnu
3139,Marceau Gauthier,21 août 1912,Nord,Nord
3140,"Jean, Maurice, Georges Courtois",21 août 1912,Jura,Lieu
3141,Jacques Lacarin,20 août 1912,Seine,Allier
3142,Jean-Paul Luisi,12 août 1912,Haute-Corse,Lieu
3143,Albert Ehm,12 août 1912,Bas-Rhin,Bas-Rhin
3144,Raymond Valenet,6 août 1912,Seine,Inconnu
3145,Henri Grouès Dit l'Abbé Pierre,5 août 1912,Paris,Inconnu
3146,Marcel Pouyet,21 juillet 1912,Allier,Allier
3147,Georges Archidice,13 juillet 1912,Inconnu,Inconnu
3148,"Jean, François, Etienne Montalat",12 juillet 1912,Corrèze,Haute-Vienne
3149,"Louis, Auguste Philibert",12 juillet 1912,Vaucluse,Inconnu
3150,Renée Prévert,11 juillet 1912,Inconnu,Inconnu
3151,"Paul, Antoine, Joseph Cermolacce",2 juillet 1912,Inconnu,Inconnu
3152,Nazi Boni,1er juillet 1912,Inconnu,Inconnu
3153,Adrien Verkindere,19 juin 1912,Nord,Nord
3154,"René, Amédée, Emile Penoy",16 juin 1912,Meuse,Paris
3155,Hamza Al-Sid-Boubakeur,15 juin 1912,Paris,Inconnu
3156,"Henri, Auguste, Théophile Hulin",10 juin 1912,Aisne,Aisne
3157,Guy Beck,9 juin 1912,Creuse,Paris
3158,Marcelle Rumeau,1er juin 1912,Haute-Garonne,Haute-Garonne
