,Nom,Né le,Département de naissance,Département de mort
8364,Jean Guignard,16 septembre 1829,Inconnu,Inconnu
8365,Alfred Koechlin-Schwartz,15 septembre 1829,Haut-Rhin,Alpes-Maritimes
8366,"Henri, Camille Margaine",4 septembre 1829,Marne,Paris
8367,Léon Bonnel,24 août 1829,Aude,Aude
8368,Auguste de Brettes-Thurin,24 août 1829,Haute-Garonne,Inconnu
8369,"Ambroise, Jules Joubert-Bonnaire",20 août 1829,Inconnu,Inconnu
8370,"Marie, Charles, Louis de Lordat",20 août 1829,Haute-Garonne,Inconnu
8371,"Jules, Emile, Michel, Laurent Amigues",10 août 1829,Pyrénées-Orientales,Paris
8372,"Henri, Frédéric Lévêque",8 août 1829,Inconnu,Inconnu
8373,"Jean, Edmond Ernoul",5 août 1829,Vienne,Haute-Vienne
8374,"Louis, René, Joachim Grivart",30 juillet 1829,Inconnu,Inconnu
8375,"Henri, Armand Rolle",8 juillet 1829,Doubs,Paris
8376,"Ernest, Jean-Baptiste, André Dréolle",1er juillet 1829,Gironde,Yvelines
8377,Jean-Baptiste Coget,19 juin 1829,Nord,Nord
8378,Alphonse Hervoches,15 juin 1829,Inconnu,Inconnu
8379,"Marc, Amédée Montané",2 juin 1829,Haute-Garonne,Haute-Garonne
8380,"Oscar, Victor,Emile Soubeyran de Saint-Prix",1er juin 1829,Drôme,Ardèche
8381,Antoine Salles,31 mai 1829,Orne,Orne
8382,Camille Richard,29 mai 1829,Vaucluse,Inconnu
8383,"Jacques, Auguste, Martin d'Ayguesvives",25 mai 1829,Haute-Garonne,Haute-Garonne
8384,"Henri, Guy, Gabriel de Coëtnempren de Kersaint",20 mai 1829,Seine,Alpes-Maritimes
8385,"Albert, Auguste Huet",16 mai 1829,Seine,Paris
8386,Francisque Reymond,15 mai 1829,Loire,Paris
8387,Valentin Couturier,2 mai 1829,Rhône,Inconnu
8388,"Charles, Joseph Larère",27 avril 1829,Côtes,Côtes
8389,"Roger, Léon Anisson-Duperron",27 avril 1829,Seine,Seine-Maritime
8390,"Pierre, Honoré Dreux-Linget",22 avril 1829,Paris,Inconnu
8391,"Louis, Camille Morel",16 avril 1829,Haute-Loire,Haute-Loire
8392,François Bordet,7 avril 1829,Inconnu,Inconnu
8393,"Léonce, Raymond, Elisabeth, Alexandre de Guiraud",23 mars 1829,Aude,Paris
8394,Osmin Labadié,14 mars 1829,Aude,Aude
8395,"Claude, François Colas",7 mars 1829,Inconnu,Inconnu
8396,Ernest Armand,6 mars 1829,Seine,Paris
8397,Paul de Saisy,25 février 1829,Côtes,Inconnu
8398,"Gustave, Eugène Fould",19 février 1829,Seine,Inconnu
8399,"Jean, Jacques, Joseph Forné",13 février 1829,Pyrénées-Orientales,Inconnu
8400,Alexis Lambert,30 janvier 1829,Doubs,Paris
8401,"Jean-François, Emile Garet",21 janvier 1829,Basses-Pyrénées,Pyrénées-Atlantiques
8402,"Joseph, Prosper André",17 janvier 1829,Moselle,Inconnu
8403,"César, Jules, Antoine Malens",17 janvier 1829,Drôme,Isère
8404,"Agénor, Benjamin, Joseph Bardoux",15 janvier 1829,Cher,Paris
8405,"François, Eugène Berger",10 janvier 1829,Paris,Inconnu
8406,"Jean ,Victor, Alfred Tricoche",9 janvier 1829,Indre,Inconnu
8407,Augustin Tardieu,23 décembre 1828,Inconnu,Inconnu
8408,Raoul de Biliotti,22 décembre 1828,Vaucluse,Isère
8409,Ernest Guillemin,19 décembre 1828,Nord,Nord
8410,"Joachim, Joseph, André Murat",12 décembre 1828,Seine,Lot
8411,"Anatole, Joseph Miramon-Fargues Cassagnes de Beaufort",9 décembre 1828,Paris,Inconnu
8412,"Cornélis, Henri de Witt",20 novembre 1828,Seine,Calvados
8413,"Louis, Armand Vitry",20 novembre 1828,Aube,Aube
8414,"Louis, Casimir Ranson",19 novembre 1828,Haute-Vienne,Paris
8415,Auguste Ollivier,17 novembre 1828,Côtes,Paris
8416,"Etienne, Léopold Faye",16 novembre 1828,Inconnu,Inconnu
8417,"François, Marie, Eucher, Charles Boulart",16 novembre 1828,Landes,Lieu
8418,"Georges, Jean, Marie Girard de Soubeyran",3 novembre 1828,Seine,Paris
8419,Pierre Lanfrey,26 octobre 1828,Savoie,Pyrénées-Atlantiques
8420,François Merveilleux du Vignaux,22 octobre 1828,Vienne,Paris
8421,Claude Millon,13 octobre 1828,Meuse,Meuse
8422,Emile Keller,8 octobre 1828,Paris,Inconnu
8423,"Léon, Jean, Thomas Vingtain",5 octobre 1828,Seine,Eure
8424,Alfred Chardon,4 octobre 1828,Haute-Savoie,Haute-Savoie
8425,"Charles, Thomas Floquet",2 octobre 1828,Basses-Pyrénées,Paris
8426,Edouard Jacques,26 septembre 1828,Paris,Inconnu
8427,René-Marie Goblet,26 septembre 1828,Paris,Inconnu
8428,"Léon, Marie Didier Riant",26 septembre 1828,Seine,Allier
8429,Jules Rathier,7 septembre 1828,Yonne,Yonne
8430,"Marius, Arthur Soustre",1er septembre 1828,Basses-Alpes,Inconnu
8431,Auguste de Montgolfier,28 août 1828,Ardèche,Ardèche
8432,"Albert, Félix, Justin, Pierre de la Cour de Balleroy",15 août 1828,Orne,Yvelines
8433,Jean-Baptiste Billot,15 août 1828,Corrèze,Paris
8434,Julien Melsheim,12 août 1828,Bas-Rhin,Paris
8435,"Charles, Léonard, Louis Bandy de Nalèche",28 juillet 1828,Creuse,Yvelines
8436,"Jean, Jules, Godefroy Calès",24 juillet 1828,Haute-Garonne,Gironde
8437,"Félix, Marie, Michel Dupin",22 juillet 1828,Hérault,Paris
8438,"François, Antoine, Philippe, Henri Zorn de Bulach",15 juillet 1828,Bas-Rhin,Bas-Rhin
8439,"Guillaume, Léon Margue",14 juillet 1828,Inconnu,Inconnu
8440,"Louis, André, Ferdinand Gatineau",13 juillet 1828,Paris,Inconnu
8441,Arthur Leroy,8 juillet 1828,Paris,Inconnu
8442,"Henri, Louis Tolain",18 juin 1828,Seine,Paris
8443,Amable Ricard,12 juin 1828,Cher,Paris
8444,"Pierre, Calixte, Emmanuel Daguilhon-Pujol",2 juin 1828,Tarn,Haute-Garonne
8445,Anselme Batbie,31 mai 1828,Gers,Paris
8446,Alfred Tallon,17 mai 1828,Inconnu,Inconnu
8447,"Alphonse, Désiré Desloges",14 mai 1828,Calvados,Calvados
8448,"Alfred, Nicolas Deseilligny",9 mai 1828,Seine,Paris
8449,"Pierre, Victor, Henri, César de Laffitte-Falentin de Saintenac",4 mai 1828,Seine,Ariège
8450,"César, Auguste Ginoux-Defermon",20 avril 1828,Seine,Paris
8451,"Edouard, Charles de Sonnier",19 avril 1828,Inconnu,Inconnu
8452,"François, Camille Roques",11 avril 1828,Haute-Garonne,Haute-Garonne
8453,Louis Godet de la Riboulerie,4 avril 1828,Vendée,Vendée
8454,"Jean-Pierre, Eudore Destandau",17 mars 1828,Basses-Pyrénées,Pyrénées-Atlantiques
8455,Emile Deshayes de Marcère,16 mars 1828,Orne,Orne
8456,"Emile, Marie, Antoine Revest",26 février 1828,Inconnu,Inconnu
8457,"Charles, Joseph Mention",28 janvier 1828,Seine,Nord
8458,"Joseph, Félix, Gustave Saussier",16 janvier 1828,Aube,Inconnu
8459,"Marie, Antoine, Edouard Rencker",24 décembre 1827,Haut-Rhin,Inconnu
8460,"Louis, Edmond Sallard",16 décembre 1827,Seine,Paris
8461,"Alfred, Louis, Edouard André",12 décembre 1827,Seine,Paris
8462,Charles Martenot,11 décembre 1827,Yonne,Allier
8463,"Jean-Baptiste, Alexandre, Damase de Chaudordy",4 décembre 1827,Paris,Inconnu
8464,"Louis, François Bérard-Blay",26 novembre 1827,Savoie,Savoie
8465,"Edmond, Charles, Philippe Ansart Rault du Fiesnet",14 novembre 1827,Inconnu,Inconnu
8466,Charles Lambert de Sainte-Croix,12 novembre 1827,Seine,Paris
8467,"Jacques, Henri Darnaudat",8 novembre 1827,Hautes-Pyrénées,
8468,"Jacques, Hyacinthe, Théodore Pradet-Balade",30 octobre 1827,Basses-Pyrénées,Pyrénées-Atlantiques
8469,"Joseph, Jules, Pierre Philippe",30 octobre 1827,Haute-Savoie,Paris
8470,"Jean, Joseph Delsol",27 octobre 1827,Aveyron,Paris
8471,"Léon, Théophile Chevreau",22 octobre 1827,Paris,Inconnu
8472,Philippe la Beaume de Bourgoing,22 octobre 1827,Nièvre,Paris
8473,Charles Guinot,17 octobre 1827,Paris,Inconnu
8474,"Luc, Bertrand, Marie Christophle",13 octobre 1827,Inconnu,Inconnu
8475,Augustin Boullier de Branche,10 octobre 1827,Mayenne,Mayenne
8476,"Louis, Arthur Le Moyne de La Borderie",5 octobre 1827,Inconnu,Inconnu
8477,"Jean-Baptiste, Ernest Lalanne",2 octobre 1827,Gironde,Gironde
8478,"Pierre, Emmanuel Tirard",27 septembre 1827,Paris,Inconnu
8479,Louis Mathey,27 septembre 1827,Inconnu,Inconnu
8480,"Jean, Hubert Bouché",4 septembre 1827,Côtes,Morbihan
8481,"Arthur, Charles Alquier",29 août 1827,Vendée,Paris
8482,"Henri, Albert Dauphin",28 août 1827,Somme,Somme
8483,"Odon, Charles, Joseph de Chaumont-Quitry",23 août 1827,Seine,Eure
8484,"Charles, François, Romain d'Osmoy",19 août 1827,Eure,Eure
8485,"Camille, François Raspail",17 août 1827,Seine,Paris
8486,"Octave, Joseph d'Hespel",11 août 1827,Nord,Nord
8487,Adrien Léon,4 août 1827,Gironde,Pyrénées-Atlantiques
8488,Alfred Giraud,3 août 1827,Vendée,Inconnu
8489,Paul Michaut,29 juillet 1827,Meurthe,Inconnu
8490,"Aristide, Louis, Antoine, Maximin, Marie Vallon",26 juillet 1827,Finistère,Paris
8491,"François, Pierre dit Marcel Tesnière",20 juillet 1827,Charente,Paris
8492,Paul Frogier de Pontlevoy,3 juillet 1827,Seine,Paris
8493,Antoine Marfan,24 juin 1827,Aude,Aude
8494,"Jules, André, Joseph Delelis",3 juin 1827,Paris,Inconnu
8495,Charles-Emile Freppel,1er juin 1827,Bas-Rhin,Inconnu
8496,"Jean, René Cassou",31 mai 1827,Basses-Pyrénées,Pyrénées-Atlantiques
8497,"Jacques, Charles, Henri Tondu",26 mai 1827,Ain,Ain
8498,"Charles, Maurice, Christophe Guillo Du Bodan",23 mai 1827,Finistère,Paris
8499,"Jules, Yves, Antoine Duvaux",21 mai 1827,Meurthe,Inconnu
8500,"Paul, Armand Challemel-Lacour",19 mai 1827,Manche,Paris
8501,"Paul, Joseph, François de Perrien",12 mai 1827,Morbihan,Paris
8502,"Alfred, Barthélemy Brugnot",11 mai 1827,Paris,Inconnu
8503,"Barthélémy, Amédée Ferrary",27 avril 1827,Hautes-Alpes,Hautes-Alpes
8504,Joseph Chantemille,23 avril 1827,Allier,Cher
8505,"Félix, Antoine, Henri Le Sergeant de Monnecove",14 avril 1827,Paris,Inconnu
8506,Joseph Hèvre,6 avril 1827,Oise,Yvelines
8507,Jules Hiroux,2 avril 1827,Nord,Nord
8508,Emile Lenoël,23 mars 1827,Manche,Paris
8509,"Pierre, Léandre, Hippolyte Barbedette",17 mars 1827,Vienne,Paris
8510,"Marie, Aimé, Henri Faton de Favernay",9 mars 1827,Somme,Paris
8511,"Paul, Antoine, Charles Bourgeois",6 mars 1827,Vendée,Vendée
8512,"Pierre, Alfred, Georges, Justin Richard de La Pervanchère",1er mars 1827,Loire-Inférieure,Loire-Atlantique
8513,"Ernest, Charles, Jean-Baptiste Dumas",26 février 1827,Seine,Paris
8514,"Gustave, Jean Lebaudy",26 février 1827,Seine,Paris
8515,"Léon, Louis, Geneviève Journault",24 février 1827,Seine,Yvelines
8516,"Stanislas, Claude, Victor, Louis Genton",14 février 1827,Rhône,Inconnu
8517,"Adolphe, Jacques Bosc",11 février 1827,Gard,Gard
8518,"Jules, Ferdinand Baulard",11 février 1827,Inconnu,Inconnu
8519,Sosthène Patissier,4 février 1827,Allier,Allier
8520,Achille Fanien,19 janvier 1827,Inconnu,Inconnu
8521,"Camille, Eugène Chaper",17 janvier 1827,Isère,Isère
8522,"Antoine, Justin Meilhodon",15 janvier 1827,Dordogne,Dordogne
8523,"Charles, Emmanuel Pineton de Chambrun",14 janvier 1827,Seine,Inconnu
8524,"Albert, Jean-Marie, Alexandre Boucau",26 décembre 1826,Landes,Landes
8525,Camille Claude,20 décembre 1826,Meurthe,Inconnu
8526,"William, Henry Waddington",11 décembre 1826,Paris,Inconnu
8527,Amédée Girard,4 décembre 1826,Inconnu,Inconnu
8528,"Alfred, Jean, François Mézières",19 novembre 1826,Moselle,Moselle
8529,Auguste Paris,12 novembre 1826,Inconnu,Inconnu
8530,"Jean, Gaston Marquiset",5 novembre 1826,Paris,Inconnu
8531,"Charles, Félix Lenient",4 novembre 1826,Inconnu,Inconnu
8532,Louis Legrand de Lecelles,29 octobre 1826,Nord,Nord
8533,"Alfred, Jean, Jules Thomas",29 octobre 1826,Marne,Marne
8534,"Louis, Fernand, Gustave Levavasseur",24 octobre 1826,Oise,Oise
8535,"Marin, Jean-Pierre Dagorne",20 octobre 1826,Côtes,Côtes
8536,Eugène Arrazat,3 octobre 1826,Hérault,Hérault
8537,"Anselme, Maurice Rubillard",25 septembre 1826,Mayenne,Sarthe
8538,"Jean-Baptiste, Fernand Danelle-Bernardin",16 septembre 1826,Haute-Marne,Haute-Marne
8539,Charles Dietz-Monnin,13 septembre 1826,Bas-Rhin,Paris
8540,Charles Saint,13 septembre 1826,Somme,Paris
8541,Joseph de Gelcen,12 septembre 1826,Pyrénées-Orientales,Pyrénées-Orientales
8542,"Pierre, Marie, Lucien Arbel",5 septembre 1826,Jura,Paris
8543,Jules Warnier,26 août 1826,Marne,Marne
8544,"Emile, Joseph Corneau",19 août 1826,Ardennes,Ardennes
8545,Ange-Gaétan Astima,7 août 1826,Haute-Corse,Paris
8546,"Pierre, Albert Tachard",30 juillet 1826,Haut-Rhin,Paris
8547,"Auguste, Edouard Favand",20 juillet 1826,Gard,Paris
8548,"Alfred, Charles, Antoine, Honoré Vast-Vimeux",8 juillet 1826,Meurthe,Charente-Maritime
8549,Jean-Baptiste Cunit,7 juillet 1826,Loire,Loire
8550,"Charles, Ernest Beulé",29 juin 1826,Paris,Inconnu
8551,"Edouard, Victor, Stanislas Bresson",27 juin 1826,Vosges,Vosges
8552,"Louis, Paul, Arsène Teilhard",16 juin 1826,Lot,Lot
8553,Mathieu Bizouard-Bert,10 juin 1826,Inconnu,Inconnu
8554,"Dionys, Louis Ordinaire",10 juin 1826,Doubs,Paris
8555,"Jules, Félix Gévelot",6 juin 1826,Seine,Orne
8556,"Léon, Jean-Baptiste Say",6 juin 1826,Seine,Paris
8557,Camille Dollfus,28 mai 1826,Haut-Rhin,Inconnu
8558,"François, Jean, Charles Montigny de Jaucourt",28 mai 1826,Seine,Inconnu
8559,Claudius Guichard,25 mai 1826,Paris,Inconnu
8560,"Augustin, Honoré Daumas",25 mai 1826,Var,Var
8561,"Victor, Edouard Dalloz",24 mai 1826,Seine,Inconnu
8562,"Lucien, Auguste Dautresme",21 mai 1826,Seine-Inférieure,Paris
8563,"Emile, Justin Ménier",18 mai 1826,Seine,Inconnu
8564,Léon Vitalis,13 mai 1826,Hérault,Hérault
8565,"Albert, Augustin Ricot",5 mai 1826,Seine,Haute-Saône
8566,"John, Alexander, Edgar Dumas de Champvallier",19 avril 1826,Martinique,Paris
8567,"Henri, Auguste Varroy",25 mars 1826,Vosges,Vosges
8568,"Raphaël, Aimé Villedieu de Torcy",16 mars 1826,Seine,Sarthe
8569,Jean-Baptiste Ninard,11 mars 1826,Creuse,Haute-Vienne
8570,Félix Le Roy,7 mars 1826,Nord,Nord
8571,"Edouard, Joseph Sens",20 février 1826,Inconnu,Inconnu
8572,"Charles, Joseph, Ernest de Bouteiller",10 février 1826,Seine,Paris
8573,"Henri, Charles, François Houyvet",27 janvier 1826,Manche,Calvados
8574,"Joseph, Adolphe Beaussier",24 janvier 1826,Ardèche,Ardèche
8575,Ferdinand Moreau,20 janvier 1826,Seine,Alpes-Maritimes
8576,"Louis, Jacques Lacaze",20 janvier 1826,Seine,Pyrénées-Atlantiques
8577,Gustave Loustalot,4 janvier 1826,Landes,Landes
8578,"Charles, Auguste Merlin",22 décembre 1825,Nord,Nord
8579,"Oswald, Jean-Baptiste, Michel, Augustin Bouteille",13 novembre 1825,Basses-Alpes,Inconnu
8580,"Charles, Adrien, Gustave Duchesne de Gillevoisin de Conegliano",12 novembre 1825,Seine,Paris
8581,"Charles, Félix, Michel Fouquet",10 novembre 1825,Aisne,Seine-Maritime
8582,Jules Bozérian,28 octobre 1825,Seine,Paris
8583,"Charles, François, Joseph Boreau-Lajanadie",20 octobre 1825,Charente,Gironde
8584,"Octave, Victor Depeyre",15 octobre 1825,Lot,Paris
8585,"Aimé, Henri Leroux",14 octobre 1825,Aisne,Aisne
8586,Jean Girault,11 octobre 1825,Cher,Cher
8587,Joseph de Cornulier,8 octobre 1825,Seine,Calvados
8588,"Louis, Victor Diancourt",5 octobre 1825,Marne,Marne
8589,"Gabriel, Antoine Royer",1er octobre 1825,Moselle,Meuse
8590,"Edouard, Adrien Bamberger",25 septembre 1825,Bas-Rhin,Paris
8591,Alfred Koechlin-Steinbach,19 septembre 1825,Haut-Rhin,Haut-Rhin
8592,Joseph Ostermann,18 septembre 1825,Bas-Rhin,Bas-Rhin
8593,"Marie, Charles, Gabriel, Sosthène La Rochefoucauld de Bisaccia",14 septembre 1825,Seine,Sarthe
8594,"Francisque, Joseph Ramey de Sugny",14 septembre 1825,Loire,Paris
8595,Charles Mazeau,1er septembre 1825,Paris,Inconnu
8596,Pierre Bizot de Fonteny,29 août 1825,Haute-Marne,Inconnu
8597,"Charles, Jean, Joseph, Louis Decazes",28 août 1825,Tarn,Lieu
8598,"Denis, Albert Delacour",23 août 1825,Seine,Calvados
8599,Henri Lefèvre,20 août 1825,Hautes-Pyrénées,Inconnu
8600,Jean-Emile Castaignède,9 août 1825,Landes,Landes
8601,"Alfred, Pierre, Victor Lombard",9 août 1825,Jura,Dordogne
8602,Louis Vichot,30 juillet 1825,Doubs,Finistère
8603,"Edgar, Adolphe, Louis de Ségur-Lamoignon",19 juillet 1825,Orne,Inconnu
8604,"Désiré, Jules Lesguillier",15 juillet 1825,Aisne,Aisne
8605,"Arthur, Eugène Picard",8 juillet 1825,Seine,Haute-Garonne
8606,Edouard Ponsard,4 juillet 1825,Marne,Marne
8607,"Emile, Olivier Ollivier",2 juillet 1825,Haute-Savoie,Inconnu
8608,"Bernard, Eugène Dupouy",1er juillet 1825,Gironde,Gironde
8609,Ernest Le Chatelain,1er juillet 1825,Mayenne,Mayenne
8610,Joseph Cheguillaume,18 juin 1825,Loire-Inférieure,Loire-Atlantique
8611,"Charles, Etienne, Gustave Leclerc de Juigné",15 juin 1825,Seine,Paris
8612,"Charles, Alphonse Levert",11 juin 1825,Yonne,Paris
8613,"Jean-Baptiste, Gédéon Charreyron",7 juin 1825,Haute-Vienne,Haute-Vienne
8614,"Auguste, Louis Le Poutre",28 mai 1825,Nord,Nord
8615,Etienne Boullay,16 mai 1825,Inconnu,Inconnu
8616,"Eugène, Pierre de Fontaine",15 mai 1825,Vendée,Vendée
8617,"Oscar, Charles, Abel Planat",14 mai 1825,Haute-Vienne,Paris
8618,Armand Gaultier de la Guistière,2 mai 1825,Inconnu,Inconnu
8619,Armand Gaultier de la Guistière,2 mai 1825,Inconnu,Inconnu
8620,Armand Gaultier de la Guistière,30 octobre 1791,Inconnu,Inconnu
8621,Armand Gaultier de la Guistière,30 octobre 1791,Inconnu,Inconnu
8622,"François, Marc Godissart",25 avril 1825,Martinique,Paris
8623,Eugène Bacquias,18 avril 1825,Aube,Aube
8624,Ernest Leclerc de Juigné,16 avril 1825,Seine,Paris
8625,"Paul, Emile, Ange de Forsanz",16 avril 1825,Finistère,Yvelines
8626,"Alexis, Aimé, Charles, Louis de La Grange",4 avril 1825,Nord,Nord
8627,"Auguste, Henri Boulard",3 avril 1825,Cher,Cher
8628,"Joseph, Alfred Cornudet des Chaumettes",30 mars 1825,Seine,Paris
8629,"Antoine, Ernest Ringuier",18 mars 1825,Aisne,Paris
8630,"Charles, Marie Doyen",12 mars 1825,Lot,Aube
8631,"Edouard, Jean-Baptiste, Henri Morisson de La Bassetière",9 mars 1825,Vendée,Vendée
8632,"François, Ernest Dutilleul",7 mars 1825,Seine,Paris
8633,"Charles, Félix Frébault",7 mars 1825,Moselle,Paris
8634,"Ernest, Guillaume, Félix, Marie Gellibert des Seguins",27 février 1825,Haute-Garonne,Charente
8635,Charles Jenty,26 février 1825,Paris,Inconnu
8636,"Louis, Etienne Jarrit-Delille",24 février 1825,Creuse,Creuse
8637,Frédéric Mestreau,15 février 1825,Charente-Inférieure,Charente-Maritime
8638,Charles Loysel,14 février 1825,Paris,Inconnu
8639,"Emile, François Gaudin",7 février 1825,Seine,Loire-Atlantique
8640,Louis Lempereur de Saint-Pierre,4 février 1825,Jura,Yvelines
8641,"Hippolyte, Paul, Emile Franc",2 février 1825,Paris,Inconnu
8642,"Frédéric, Charles d'Arras",28 janvier 1825,Nord,Nord
8643,Paul Bezanson,25 janvier 1825,Haute-Saône,Paris
8644,"Gustave, Adrien Gailly",25 janvier 1825,Ardennes,Ardennes
8645,"Eugène, Emmanuel, Ernest Halwin de Piennes",20 janvier 1825,Manche,Inconnu
8646,Paul Cotte,15 janvier 1825,Var,Var
8647,"Jean, Théodose Mercier",10 janvier 1825,Ain,Ain
8648,Alfred Leconte,21 décembre 1824,Indre,Inconnu
8649,"Antoine, Gustave Chapuys de Montlaville",13 décembre 1824,Inconnu,Inconnu
8650,"Antoine, Dieudonné Belle",8 décembre 1824,Inconnu,Inconnu
8651,"Louis, Aymar Joret des Closières",6 décembre 1824,Calvados,Paris
8652,"Jacques, André Paulon",23 novembre 1824,Basses-Alpes,Inconnu
8653,"Conrad, Jacob, Dionys, Cornélis de Witt",15 novembre 1824,Seine,Calvados
8654,"Louis, Mathurin Babin-Chevaye",2 novembre 1824,Loire-Inférieure,Loire-Atlantique
8655,"Ferdinand, Joseph, Marie Chrestien de Treveneuc",2 novembre 1824,Côtes,Finistère
8656,Alexis Chavanne,11 octobre 1824,Rhône,Inconnu
8657,"Joseph, Constant, Michel Deroyer",24 septembre 1824,Côtes,Côtes
8658,Charles Boudeville,23 septembre 1824,Oise,Oise
8659,"Edouard, Guillaume Bonnet-Duverdier",13 septembre 1824,Dordogne,Paris
8660,"Charles, Marie de Faucigny-Lucinge",16 août 1824,Seine,Paris
8661,"Philippe, Marie, Joseph de Carayon-Latour",10 août 1824,Gironde,Gironde
8662,"Alexandre, Louis, Marie Mac Donald de Tarente",6 août 1824,Seine,Paris
8663,"Adolphe, Ernest Fould",17 juillet 1824,Seine,Paris
8664,"Jacques, Hippolyte, Paul Maunoury",30 juin 1824,Inconnu,Inconnu
8665,Michel Bellot,19 juin 1824,Allier,Cher
8666,"Alphonse, Alfred Haentjens",11 juin 1824,Loire-Inférieure,Paris
8667,Jules Mathé,6 juin 1824,Yonne,Paris
8668,"Emile, Jacques, Amand Beaussire",26 mai 1824,Vendée,Paris
8669,Amédée Monteils,21 mai 1824,Lozère,Lozère
8670,"Auguste, Pierre Trouard-Riolle",10 mai 1824,Seine-Inférieure,Alpes-Maritimes
8671,"François, Auguste Augère",10 mai 1824,Nièvre,Inconnu
8672,Jean Joxé,30 avril 1824,Moselle,Inconnu
8673,"Louis, Sabin Riondel",24 avril 1824,Isère,Isère
8674,"Marcellin, François Simonnet",20 avril 1824,Allier,Allier
8675,"Jean, Théoxène Roque de Filhol",11 avril 1824,Gironde,Inconnu
8676,André Duclaud,8 avril 1824,Charente,Pyrénées-Atlantiques
8677,"Auguste, Bertrand, François, Joseph, Marie, Désiré Dufour",3 avril 1824,Lot,Paris
8678,"Gabriel, Louis de Saint-Victor",24 mars 1824,Italie,Inconnu
8679,Charles Boch,24 mars 1824,Bas-Rhin,Inconnu
8680,Pierre Le Moign,17 mars 1824,Côtes,Côtes
8681,Théophile Neveux,13 mars 1824,Ardennes,Paris
8682,"Joseph, Nelson Soye",3 mars 1824,Gers,Ardennes
8683,Alexandre Fairé,1er mars 1824,Mayenne,Inconnu
8684,"Laure, Gustave de Laffitte de Lajoannenque",26 février 1824,Inconnu,Inconnu
8685,"Louis, Paul, Emile Codet",20 février 1824,Haute-Vienne,Haute-Vienne
8686,"Henri, Antoine, Marie Germain",19 février 1824,Paris,Inconnu
8687,"Jean-Jacques, Antoine, Emile Duréault",4 février 1824,Inconnu,Inconnu
8688,"Armand, Etienne Méplain",28 janvier 1824,Allier,Allier
8689,"Eugène, Marie, Victor Rendu",10 janvier 1824,Seine,Paris
8690,"Théophile, Nicolas Noblot",10 janvier 1824,Aube,Inconnu
8691,"Paul, Eugène Remoiville",10 janvier 1824,Paris,Inconnu
8692,"Joseph, Pierre Magnin",1er janvier 1824,Paris,Inconnu
8693,"Casimir, Laurent Michou",29 décembre 1823,Yonne,Aube
8694,"Pierre, Rémy Corneille",28 décembre 1823,Seine-Inférieure,Paris
8695,"Pierre, Paul Bardon",24 décembre 1823,Haute-Vienne,Inconnu
8696,Melvil Bloncourt,23 novembre 1823,Guadeloupe,Paris
8697,"Charles, Gabriel, Félicité Martin des Pallières",22 novembre 1823,Essonne,Inconnu
8698,"Bernard, Honoré Préveraud",7 novembre 1823,Allier,Allier
8699,"Emile, Louis, Lucien Massiet du Biest",2 novembre 1823,Nord,Nord
8700,Alexandre de Cardenau de Borda,28 octobre 1823,Landes,Landes
8701,"Charles, Célestin, Joseph Thoinnet de la Turmelière",26 octobre 1823,Loire-Inférieure,Paris
8702,"Pierre, Antoine, Simon Pagès-Duport",25 octobre 1823,Lot,Paris
8703,"Edme, Armand, Gaston d'Audiffret-Pasquier",20 octobre 1823,Seine,Paris
8704,Alphonse Hochstuhl,16 octobre 1823,Doubs,Bas-Rhin
8705,"Bertrand, Victor, Onésime Luro",16 octobre 1823,Gers,Gers
8706,"Ferdinand, François, Charles Boyer",12 octobre 1823,Gard,Inconnu
8707,"Désiré, Philippe, Joseph Debuchy",7 octobre 1823,Nord,Paris
8708,"Joseph, Camille Chaley",29 septembre 1823,Ain,Ain
8709,"Pierre, Arsène, Onésime Duguiot ou Duguyot",28 septembre 1823,Yonne,Yonne
8710,"Charles, Robert, Marie, Guillaume de France d'Hésecques",26 septembre 1823,Somme,Somme
8711,Albert Castelnau,25 septembre 1823,Hérault,Hérault
8712,Gaspard Medecin,22 septembre 1823,Alpes-Maritimes,Inconnu
8713,"Auguste, Abraham Rolland",12 septembre 1823,Lieu,Inconnu
8714,"Bernard, Louis, Célestin Montaut",27 août 1823,Seine,Paris
8715,Albert Grévy,23 août 1823,Jura,Jura
8716,"Pierre, Marie, Guillaume Maillard",22 août 1823,Corrèze,Paris
8717,"Amédée, Simon, Gratien de Laborde-Noguez",21 août 1823,Basses-Pyrénées,Pyrénées-Atlantiques
8718,"Benjamin, François, Vincent Raspail",16 août 1823,Seine,Inconnu
8719,"Désiré, Jean Barodet",27 juillet 1823,Jura,Inconnu
8720,"Eugène, René, François Eschassériaux",25 juillet 1823,Charente-Inférieure,Charente-Maritime
8721,"Julien, Henri Busson-Billault",24 juillet 1823,Yonne,Loire-Atlantique
8722,Alexandre Jullien,23 juillet 1823,Isère,Inconnu
8723,"Raphaël, Louis Bischoffsheim",22 juillet 1823,Paris,Inconnu
8724,"Jean-Marie, Félix du Temple de la Croix",18 juillet 1823,Loiret,Manche
8725,"Pierre, Frédéric Rouilly",14 juillet 1823,,Paris
8726,Eugène Servan,13 juillet 1823,Drôme,Drôme
8727,Léon Laurent-Pichat,11 juillet 1823,Seine,Paris
8728,Marius Bianchi,7 juillet 1823,Var,Yvelines
