,Nom,Né le,Département de naissance,Département de mort,nombre de mandat,age en année,premier dpt,élection locale
175,François Ruffin,18 octobre 1975,,,,,,False
176,Stéphanie Atger,11 octobre 1975,,,,,,False
177,Sandrine Josso,19 septembre 1975,,,,,,False
178,Christophe Arend,12 août 1975,,,,,,False
179,Yannick Moreau,4 août 1975,,,,,,False
180,Julie Sommaruga,1er août 1975,,,,,,False
181,Stéphanie Kerbarh,31 juillet 1975,,,,,,False
182,Boris Vallaud,25 juillet 1975,,,,,,False
183,Antoine Savignat,22 juillet 1975,,,,,,False
184,Nathalie Appéré,8 juillet 1975,,,,,,False
185,Pierre Dharréville,15 juin 1975,,,,,,False
186,Barbara Pompili,13 juin 1975,,,,,,False
187,Anthony Cellier,1er juin 1975,,,,,,False
188,Maina Sage,10 mai 1975,,,,,,False
189,Arnaud Robinet,30 avril 1975,,,,,,False
190,Philippe Latombe,21 avril 1975,,,,,,False
191,Laurent Wauquiez,12 avril 1975,,,,,,False
192,Cécile Duflot,1er avril 1975,,,,,,False
193,Alain Chrétien,17 mars 1975,,,,,,False
194,Justine Benin,12 mars 1975,,,,,,False
195,Corinne Narassiguin,7 mars 1975,,,,,,False
196,Cendra Motin,29 janvier 1975,,,,,,False
197,Arnaud Viala,4 décembre 1974,,,,,,False
198,Marion Lenne,20 novembre 1974,,,,,,False
199,Carlos Da Silva,16 novembre 1974,,,,,,False
200,Guillaume Chevrollier,27 octobre 1974,,,,,,False
201,Axelle Lemaire,18 octobre 1974,,,,,,False
202,Luc Belot,6 septembre 1974,,,,,,False
203,Pierre Venteau,26 août 1974,,,,,,False
204,Gwenegan Bui,27 juillet 1974,,,,,,False
205,Guillaume Bachelay,13 juillet 1974,,,,,,False
206,Éric Poulliat,9 juillet 1974,,,,,,False
207,Florence Lasserre-David,29 juin 1974,,,,,,False
208,Karine Daniel,22 juin 1974,,,,,,False
209,Olivier Serva,21 juin 1974,,,,,,False
210,Romain Grau,21 juin 1974,,,,,,False
211,Pascal Brindeau,20 juin 1974,,,,,,False
212,Catherine Troallic,10 mai 1974,,,,,,False
213,Thomas Thévenoud,5 mai 1974,,,,,,False
214,Sylvain Maillard,28 avril 1974,,,,,,False
215,Barbara Romagnan,25 avril 1974,,,,,,False
216,Cécile Rilhac,21 avril 1974,,,,,,False
217,Stéphane Buchou,14 mars 1974,,,,,,False
218,Rodrigue Kokouendo,8 mars 1974,,,,,,False
219,Catherine Osson,7 février 1974,,,,,,False
220,Franck Riester,3 janvier 1974,,,,,,False
221,Sandra Marsaud,2 janvier 1974,,,,,,False
222,Patrice Verchère,29 décembre 1973,,,,,,False
223,Valérie Oppelt,10 décembre 1973,,,,,,False
224,François De Rugy,6 décembre 1973,,,,,,False
225,Stella Dupont,3 novembre 1973,,,,,,False
226,Audrey Linkenheld,11 octobre 1973,,,,,,False
227,Cédric Villani,5 octobre 1973,,,,,,False
228,Florent Boudié,22 septembre 1973,,,,,,False
229,Emmanuelle Fontaine-Domeizel,28 août 1973,,,,,,False
230,Alexis Bachelay,19 août 1973,,,,,,False
231,Stéphanie Rist,6 août 1973,,,,,,False
232,David Comet,25 juillet 1973,,,,,,False
233,Édouard Courtial,28 juin 1973,,,,,,False
234,Éric Elkouby,24 juin 1973,,,,,,False
235,Estelle Grelier,22 juin 1973,,,,,,False
236,Aurélie Filippetti,17 juin 1973,,,,,,False
237,Nathalie Elimas,5 juin 1973,,,,,,False
238,Clémentine Autain,26 mai 1973,,,,,,False
239,Nathalie Kosciusko-Morizet,14 mai 1973,,,,,,False
240,Annaïg Le Meur,29 avril 1973,,,,,,False
241,Valérie Rabault,25 avril 1973,,,,,,False
242,Sébastien Chenu,13 avril 1973,,,,,,False
243,Raphaël Gauvain,10 avril 1973,,,,,,False
244,Christophe Blanchet,9 avril 1973,,,,,,False
245,Delphine Batho,23 mars 1973,,,,,,False
246,Jean-Félix Acquaviva,19 mars 1973,,,,,,False
247,Karine Berger,11 mars 1973,,,,,,False
248,Grégory Galbadon,21 janvier 1973,,,,,,False
249,Nathalie Chabanne,3 janvier 1973,,,,,,False
250,Xavier Paluszkiewicz,13 décembre 1972,,,,,,False
251,Matthieu Orphelin,3 décembre 1972,,,,,,False
252,Sophie Beaudouin-Hubiere,20 novembre 1972,,,,,,False
253,François Cormier-Bouligeon,19 novembre 1972,,,,,,False
254,Saïd Ahamada,7 novembre 1972,,,,,,False
