,Département de naissance,Département de mort,Nom
0,Deux-Sèvres,Inconnu,Dominique Paillé
0,Sarthe,Inconnu,Elisabeth Hubert
0,Inconnu,Inconnu,Frédéric Dutoit
0,Alpes-Maritimes,Inconnu,Charles-Ange Ginesy
0,Nord,Inconnu,Dominique Lefebvre
0,Guadeloupe,Inconnu,Hélène Vainqueur-Christophe
0,Loire,Inconnu,Jean-Louis Gagnaire
0,Dordogne,Inconnu,Brigitte Allain
0,Moselle,Inconnu,André Wojciechowski
0,Drôme,Inconnu,François Brottes
0,Inconnu,Inconnu,Sophie Dion
0,Landes,Inconnu,Geneviève Darrieussecq
0,Haute-Garonne,Inconnu,Jean Garraud
0,Guadeloupe,Inconnu,Max Mathiasin
0,Dordogne,Inconnu,Pascal Deguilhem
0,Moselle,Inconnu,Christian Eckert
0,Seine,Inconnu,Jean-François Lamour
0,Oise,Inconnu,Éric Woerth
0,Ardennes,Inconnu,Philippe Vuilque
0,Côtes,Inconnu,Daniel Pennec
0,Pyrénées-Orientales,Inconnu,Daniel Mach
0,Loire-Inférieure,Inconnu,"Robert, Jean-Pierre, Marie Diat"
0,Loire-Inférieure,Inconnu,Marie-Hélène Aubert
0,Inconnu,Inconnu,Jacques Grosperrin
0,Martinique,Inconnu,"Philippe, Calixte, Gérard Edmond-Mariette"
0,Inconnu,Inconnu,Françoise Descamps-Crosnier
0,Seine-Inférieure,Inconnu,Luce Pane
0,Manche,Inconnu,Philippe Pemezec
0,Haute-Vienne,Inconnu,Sophie Dessus
0,Haute-Savoie,Inconnu,Claudine Schmid
0,Inconnu,Inconnu,Anne-Yvonne Le Dain
0,Nord,Inconnu,Christine Hennion
0,Seine,Inconnu,Daniel Labaronne
0,Sarthe,Inconnu,Antoine Joly
0,Haute-Garonne,Inconnu,Philippe Bonnecarrère
0,Loire,Inconnu,Dino Cinieri
0,Alpes-Maritimes,Inconnu,Christian Estrosi
0,Moselle,Inconnu,Laurent Kalinowski
0,Seine,Inconnu,Eric Raoult
0,Isère,Inconnu,Pierre Ribeaud
0,Inconnu,Inconnu,Sylvie Pichot
0,Seine,Inconnu,Philippe Langenieux-Villard
0,Seine,Inconnu,Pierre-Christophe Baguet
0,Morbihan,Inconnu,Philippe Noguès
0,Basses-Pyrénées,Inconnu,Jean Lassalle
0,Basses-Pyrénées,Inconnu,Vincent Bru
0,La,La,Laurent Vergès
0,Inconnu,Inconnu,Elisabeth Pochon
0,Inconnu,Inconnu,Monica Michel
0,Inconnu,Inconnu,Patrick Mennucci
0,Inconnu,Inconnu,Michel Bouvard
0,Inconnu,Inconnu,Chantal Guittet
0,Cantal,Inconnu,Jean-Yves Bony
0,Inconnu,Inconnu,Julien Dray
0,Var,Inconnu,Philippe Vitel
0,Inconnu,Inconnu,Jacques Cresta
0,Finistère,Inconnu,François Cuillandre
0,Inconnu,Inconnu,Laurence Vichnievsky
0,Marne,Inconnu,Francis Falala
0,Seine,Inconnu,Nicolas Sarkozy
0,Seine,Inconnu,Evelyne Guilhem
0,Meurthe,Inconnu,Jean-Yves Haby
0,Inconnu,Inconnu,Lionnel Luca
0,Inconnu,Inconnu,Élisabeth Toutut-Picard
0,Yonne,Inconnu,André Villiers
0,Vosges,Inconnu,Gérard Welzer
0,Haute-Vienne,Inconnu,Gilles Savary
